Title,Suggestion Title,Subtitle,Navigation Entity ID,Navigation Entity Type,Navigation Localized Name,Flight Params SkyId,Flight Params EntityId,Flight Params FlightPlaceType,Flight Params LocalizedName,Hotel Params EntityId,Hotel Params EntityType,Hotel Params LocalizedName
Hyderabad,Hyderabad (HYD),India,128668073,AIRPORT,Hyderabad,HYD,128668073,AIRPORT,Hyderabad,27542764,CITY,Hyderabad
Hydaburg,Hydaburg (HYG),United States,128667505,AIRPORT,Hydaburg,HYG,128667505,AIRPORT,Hydaburg,27542765,CITY,Hydaburg
